"job_id","company_name","job_title_short","job_title","yearly_salary","skills"
177779,"East River Electric Power Cooperative, Inc.","Data Scientist","Data Scientist","960000.0","python"
177779,"East River Electric Power Cooperative, Inc.","Data Scientist","Data Scientist","960000.0","java"
177779,"East River Electric Power Cooperative, Inc.","Data Scientist","Data Scientist","960000.0","r"
177779,"East River Electric Power Cooperative, Inc.","Data Scientist","Data Scientist","960000.0","c++"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","sql"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","python"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","java"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","c#"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","azure"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","databricks"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","spark"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","pandas"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","pyspark"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","hadoop"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","tensorflow"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","keras"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","pytorch"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","jupyter"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","scikit-learn"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","matplotlib"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","plotly"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","seaborn"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","linux"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","git"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","kubernetes"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","docker"
1008448,"MSP Staffing  LTD","Senior Data Scientist","Senior Data Scientist","890000.0","github"
